POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
132720,7,1856081,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,3,11/22/2023,,En conception,3- Fût,300668.188,5039557.0,-73.552866,45.495924,Ville-Marie
132769,7,1066848,11,\A EN TOUT TEMPS,AD-TT,3,,STATIONNEMENT,6,1/15/2015,,Réel,3- Fût,300051.969,5040680.5,-73.560762,45.506029,Ville-Marie
132769,6,1066849,1256,P 15 min,PD-DT,2,,STATIONNEMENT,6,1/15/2015,,Réel,3- Fût,300051.969,5040680.5,-73.560762,45.506029,Ville-Marie
132772,7,239553,1587,\P RESERVE S3R 09h-21h  (2 SECTEURS),R-PD-2S,0,,STATIONNEMENT,0,7/6/2001,,Enlevé,2- Tige et manchon,300673.218,5039614.154,-73.552802,45.496438,Ville-Marie
132774,7,1066843,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,2,12/11/2014,,Réel,3- Fût,300014.875,5040705.5,-73.561237,45.506254,Ville-Marie
132775,7,1364768,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,4,11/9/2018,,Enlevé,2- Tige et manchon,300671.094,5039630.5,-73.55283,45.496585,Ville-Marie
132777,5,401990,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,1,7/20/2006,1.0,Enlevé,1- Tige et base,300684.377,5039812.574,-73.552661,45.498223,Ville-Marie
132864,7,424650,2294,\P 22h-23h LUN. JEU. 1 MARS AU 1 DEC.,SB-SG,0,,STATIONNEMENT,2,10/27/2006,,Enlevé,1- Tige et base,300659.38,5039827.5,-73.552981,45.498358,Ville-Marie
132889,5,1704225,2443,\P LIVRAISON SEULEMENT 09h30-15h30 LUN. AU VEN.,SL-JF,3,,STATIONNEMENT,19,5/25/2022,,Réel,3- Fût,300654.219,5039689.5,-73.553046,45.497116,Ville-Marie
132890,7,1167168,13824,\P 08h30-09h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JB-A,0,,STATIONNEMENT,9,7/14/2016,,Réel,2- Tige et manchon,300654.031,5039707.0,-73.553049,45.497273,Ville-Marie
132890,6,1167169,2443,\P LIVRAISON SEULEMENT 09h30-15h30 LUN. AU VEN.,SL-JF,2,,STATIONNEMENT,9,7/14/2016,,Réel,2- Tige et manchon,300654.031,5039707.0,-73.553049,45.497273,Ville-Marie
132891,4,1704215,13824,\P 08h30-09h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JB-A,0,,STATIONNEMENT,16,5/25/2022,,Réel,3- Fût,300657.719,5039742.5,-73.553002,45.497593,Ville-Marie
132891,3,1704216,1589,\P RESERVE S3R 09h-23h,R-PF,0,,STATIONNEMENT,16,5/25/2022,,Réel,3- Fût,300657.719,5039742.5,-73.553002,45.497593,Ville-Marie
132895,7,239747,2413,\P EN TOUT TEMPS,SD-TT,3,,STATIONNEMENT,2,,,Enlevé,2- Tige et manchon,300658.799,5039854.378,-73.552989,45.498599,Ville-Marie
132911,7,1485664,11,\A EN TOUT TEMPS,AD-TT,2,,STATIONNEMENT,5,4/9/2020,,Réel,3- Fût,300654.969,5039945.5,-73.553039,45.499419,Ville-Marie
132911,6,1485665,1256,P 15 min,PD-DT,3,,STATIONNEMENT,5,4/9/2020,,Réel,3- Fût,300654.969,5039945.5,-73.553039,45.499419,Ville-Marie
132911,5,1485666,1514,PANONCEAU EXCEPTE PERIODE INTERDITE,PX-PH,0,,STAT-PANNONC.,5,4/9/2020,,Réel,3- Fût,300654.969,5039945.5,-73.553039,45.499419,Ville-Marie
132915,7,956562,11,\A EN TOUT TEMPS,AD-TT,3,,STATIONNEMENT,7,5/24/2013,,Réel,3- Fût,300652.938,5039963.0,-73.553065,45.499577,Ville-Marie
132915,6,956563,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,7,5/24/2013,,Réel,3- Fût,300652.938,5039963.0,-73.553065,45.499577,Ville-Marie
132915,5,956564,1256,P 15 min,PD-DT,2,,STATIONNEMENT,7,5/24/2013,,Réel,3- Fût,300652.938,5039963.0,-73.553065,45.499577,Ville-Marie
132915,4,956565,1514,PANONCEAU EXCEPTE PERIODE INTERDITE,PX-PH,0,,STAT-PANNONC.,7,5/24/2013,,Réel,3- Fût,300652.938,5039963.0,-73.553065,45.499577,Ville-Marie
132921,7,239811,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,1,,,Réel,3- Fût,300650.12,5039991.0,-73.553101,45.499829,Ville-Marie
132927,7,1000538,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,1,1/7/2014,,Réel,3- Fût,300633.969,5040015.5,-73.553308,45.500049,Ville-Marie
132980,7,239922,2168,\P 10h-11h LUN. JEU. 1 MARS AU 1 DEC.,SB-JE,0,,STATIONNEMENT,0,7/6/2001,,Enlevé,3- Fût,300636.422,5040046.966,-73.553277,45.500332,Ville-Marie
132981,7,1377808,11,\A EN TOUT TEMPS,AD-TT,3,,STATIONNEMENT,13,12/19/2018,,Réel,1- Tige et base,300632.406,5040054.5,-73.553328,45.5004,Ville-Marie
132981,6,1377809,1589,\P RESERVE S3R 09h-23h,R-PF,2,,STATIONNEMENT,13,12/19/2018,,Réel,1- Tige et base,300632.406,5040054.5,-73.553328,45.5004,Ville-Marie
132992,7,1679018,13808,\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-AB-A,0,,STATIONNEMENT,16,2/3/2022,,Réel,3- Fût,300612.153,5040153.252,-73.553588,45.501289,Ville-Marie
132992,6,1679019,1260,P 02h 09h-21h,PD-JD,0,,STATIONNEMENT,16,2/3/2022,,Réel,3- Fût,300612.153,5040153.252,-73.553588,45.501289,Ville-Marie
132992,5,1679020,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,16,2/3/2022,,Réel,3- Fût,300612.153,5040153.252,-73.553588,45.501289,Ville-Marie
132993,7,1148798,13808,\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-AB-A,0,,STATIONNEMENT,7,4/7/2016,,Réel,3- Fût,300626.344,5040080.0,-73.553406,45.500629,Ville-Marie
132993,6,1148799,1589,\P RESERVE S3R 09h-23h,R-PF,0,,STATIONNEMENT,7,4/7/2016,,Réel,3- Fût,300626.344,5040080.0,-73.553406,45.500629,Ville-Marie
132995,7,1575493,1589,\P RESERVE S3R 09h-23h,R-PF,3,,STATIONNEMENT,10,12/21/2020,,Réel,3- Fût,300618.059,5040121.262,-73.553512,45.501001,Ville-Marie
132995,6,1575494,1260,P 02h 09h-21h,PD-JD,2,,STATIONNEMENT,10,12/21/2020,,Réel,3- Fût,300618.059,5040121.262,-73.553512,45.501001,Ville-Marie
132995,5,1575495,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,10,12/21/2020,,Réel,3- Fût,300618.059,5040121.262,-73.553512,45.501001,Ville-Marie
132996,7,1677944,1589,\P RESERVE S3R 09h-23h,R-PF,0,,STATIONNEMENT,1,2/3/2022,,Réel,3- Fût,300621.287,5040104.112,-73.553471,45.500846,Ville-Marie
132998,7,1575306,11,\A EN TOUT TEMPS,AD-TT,2,,STATIONNEMENT,18,12/21/2020,,Réel,3- Fût,300606.656,5040190.0,-73.553659,45.501619,Ville-Marie
132998,6,1575307,13808,\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-AB-A,0,,STATIONNEMENT,18,12/21/2020,,Réel,3- Fût,300606.656,5040190.0,-73.553659,45.501619,Ville-Marie
132998,5,1575308,1260,P 02h 09h-21h,PD-JD,3,,STATIONNEMENT,18,12/21/2020,,Réel,3- Fût,300606.656,5040190.0,-73.553659,45.501619,Ville-Marie
132998,4,1575309,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,18,12/21/2020,,Réel,3- Fût,300606.656,5040190.0,-73.553659,45.501619,Ville-Marie
133002,7,991308,11,\A EN TOUT TEMPS,AD-TT,2,,STATIONNEMENT,8,11/19/2013,,Réel,3- Fût,300615.25,5040050.0,-73.553548,45.500359,Ville-Marie
133002,6,991309,1589,\P RESERVE S3R 09h-23h,R-PF,3,,STATIONNEMENT,8,11/19/2013,,Réel,3- Fût,300615.25,5040050.0,-73.553548,45.500359,Ville-Marie
133006,7,973944,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,5,8/21/2013,,Réel,2- Tige et manchon,300592.313,5040161.5,-73.553842,45.501363,Ville-Marie
133006,6,973945,2413,\P EN TOUT TEMPS,SD-TT,3,,STATIONNEMENT,5,8/21/2013,,Réel,2- Tige et manchon,300592.313,5040161.5,-73.553842,45.501363,Ville-Marie
133006,5,973946,1589,\P RESERVE S3R 09h-23h,R-PF,2,,STATIONNEMENT,5,8/21/2013,,Réel,2- Tige et manchon,300592.313,5040161.5,-73.553842,45.501363,Ville-Marie
133007,7,817165,2413,\P EN TOUT TEMPS,SD-TT,2,,STATIONNEMENT,3,7/9/2011,,Réel,2- Tige et manchon,300590.438,5040170.5,-73.553866,45.501444,Ville-Marie
133007,6,817166,1589,\P RESERVE S3R 09h-23h,R-PF,3,,STATIONNEMENT,3,7/9/2011,,Réel,2- Tige et manchon,300590.438,5040170.5,-73.553866,45.501444,Ville-Marie
133008,7,1575353,13809,\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.,SB-AE-A,0,,STATIONNEMENT,14,12/21/2020,,Réel,3- Fût,300585.938,5040229.0,-73.553924,45.50197,Ville-Marie
133008,6,1575354,1589,\P RESERVE S3R 09h-23h,R-PF,2,,STATIONNEMENT,14,12/21/2020,,Réel,3- Fût,300585.938,5040229.0,-73.553924,45.50197,Ville-Marie
133008,5,1575355,1397,P 60 min 09h-17h LUN. AU SAM.,PS-OP,3,,STATIONNEMENT,14,12/21/2020,,Réel,3- Fût,300585.938,5040229.0,-73.553924,45.50197,Ville-Marie
133008,4,1575356,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,14,12/21/2020,,Réel,3- Fût,300585.938,5040229.0,-73.553924,45.50197,Ville-Marie
133009,7,1677819,2413,\P EN TOUT TEMPS,SD-TT,3,,STATIONNEMENT,9,2/3/2022,,Réel,2- Tige et manchon,300584.906,5040247.0,-73.553938,45.502132,Ville-Marie
133009,6,1677820,1397,P 60 min 09h-17h LUN. AU SAM.,PS-OP,2,,STATIONNEMENT,9,2/3/2022,,Réel,2- Tige et manchon,300584.906,5040247.0,-73.553938,45.502132,Ville-Marie
133009,5,1677821,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,9,2/3/2022,,Réel,2- Tige et manchon,300584.906,5040247.0,-73.553938,45.502132,Ville-Marie
133012,7,1584933,2461,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,0,,STATIONNEMENT,5,2/5/2021,,Réel,3- Fût,300583.625,5040288.5,-73.553955,45.502505,Ville-Marie
133014,6,1677799,2461,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,0,,STATIONNEMENT,3,2/3/2022,,Réel,3- Fût,300581.844,5040313.0,-73.553978,45.502726,Ville-Marie
133015,6,1584935,1545,\P RESERVE AUTOBUS,R-AU,3,,STATIONNEMENT,5,2/5/2021,,Réel,3- Fût,300581.313,5040325.0,-73.553984,45.502834,Ville-Marie
133015,5,1584936,1512,PANONCEAU DEBAR. SEULEMENT,PX-PD,0,,STAT-PANNONC.,5,2/5/2021,,Réel,3- Fût,300581.313,5040325.0,-73.553984,45.502834,Ville-Marie
133015,4,1584937,2461,\P LIVRAISON SEULEMENT EN TOUT TEMPS,SL-TT,2,,STATIONNEMENT,5,2/5/2021,,Réel,3- Fût,300581.313,5040325.0,-73.553984,45.502834,Ville-Marie
133017,7,1772398,14202,\P 09h30-10h30 MAR. 1 AVRIL AU 1 DEC.,SU-MD-A,0,,STATIONNEMENT,9,1/20/2023,,Réel,2- Tige et manchon,300481.563,5043268.0,-73.555287,45.529316,Ville-Marie
133018,7,1772400,11,\A EN TOUT TEMPS,AD-TT,3,,STATIONNEMENT,7,1/20/2023,,Réel,4- Poteau en bois,300483.969,5043254.5,-73.555256,45.529194,Ville-Marie
133018,6,1772401,1589,\P RESERVE S3R 09h-23h,R-PF,2,,STATIONNEMENT,7,1/20/2023,,Réel,4- Poteau en bois,300483.969,5043254.5,-73.555256,45.529194,Ville-Marie
133019,7,1667328,14052,\P 09h30-10h30 LUN. 1 AVRIL AU 1 DEC.,SU-LD-A,0,,STATIONNEMENT,8,12/13/2021,,Réel,2- Tige et manchon,300495.594,5043271.5,-73.555107,45.529347,Ville-Marie
133019,6,1667329,1589,\P RESERVE S3R 09h-23h,R-PF,3,,STATIONNEMENT,8,12/13/2021,,Réel,2- Tige et manchon,300495.594,5043271.5,-73.555107,45.529347,Ville-Marie
133020,7,1667323,14202,\P 09h30-10h30 MAR. 1 AVRIL AU 1 DEC.,SU-MD-A,0,,STATIONNEMENT,5,12/13/2021,,Réel,1- Tige et base,300491.73,5043284.639,-73.555157,45.529465,Ville-Marie
133020,6,1667324,1589,\P RESERVE S3R 09h-23h,R-PF,2,,STATIONNEMENT,5,12/13/2021,,Réel,1- Tige et base,300491.73,5043284.639,-73.555157,45.529465,Ville-Marie
133021,7,1655410,14052,\P 09h30-10h30 LUN. 1 AVRIL AU 1 DEC.,SU-LD-A,0,,STATIONNEMENT,7,10/20/2021,,Réel,2- Tige et manchon,300515.188,5043300.0,-73.554857,45.529604,Ville-Marie
133021,6,1655411,1669,\P RESERVE S3R 09h-18h LUN A VEN,R-RX,2,,STATIONNEMENT,7,10/20/2021,,Réel,2- Tige et manchon,300515.188,5043300.0,-73.554857,45.529604,Ville-Marie
133022,7,1655412,14052,\P 09h30-10h30 LUN. 1 AVRIL AU 1 DEC.,SU-LD-A,0,,STATIONNEMENT,6,10/20/2021,,Réel,4- Poteau en bois,300525.063,5043314.5,-73.55473,45.529734,Ville-Marie
133022,6,1655413,1669,\P RESERVE S3R 09h-18h LUN A VEN,R-RX,3,,STATIONNEMENT,6,10/20/2021,,Réel,4- Poteau en bois,300525.063,5043314.5,-73.55473,45.529734,Ville-Marie
133023,5,239997,2164,\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC.,SB-JA,0,,STATIONNEMENT,0,7/9/2001,,Enlevé,1- Tige et base,300534.233,5043347.555,-73.554613,45.530032,Ville-Marie
133024,7,473493,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,1,7/16/2007,,Réel,4- Poteau en bois,300567.406,5043369.5,-73.554189,45.530229,Ville-Marie
133025,7,1619869,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,3,6/10/2021,,Réel,1- Tige et base,300583.844,5043377.0,-73.553978,45.530297,Ville-Marie
133026,7,1619943,14072,\P 10h-11h MAR. 1 AVRIL AU 1 DEC.,SU-ME-A,0,,STATIONNEMENT,3,6/10/2021,,Réel,2- Tige et manchon,300595.688,5043394.5,-73.553827,45.530455,Ville-Marie
133027,7,1619857,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,1,6/10/2021,,Réel,4- Poteau en bois,300595.031,5043412.0,-73.553835,45.530612,Ville-Marie
133029,7,1619941,2413,\P EN TOUT TEMPS,SD-TT,2,,STATIONNEMENT,5,6/10/2021,,Réel,1- Tige et base,300605.75,5043409.5,-73.553698,45.53059,Ville-Marie
133029,6,1619942,1622,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,3,,STATIONNEMENT,5,6/10/2021,,Réel,1- Tige et base,300605.75,5043409.5,-73.553698,45.53059,Ville-Marie
133031,7,1619856,2413,\P EN TOUT TEMPS,SD-TT,0,,STATIONNEMENT,1,6/10/2021,,Réel,4- Poteau en bois,300605.656,5043444.5,-73.5537,45.530904,Ville-Marie
