POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
205947,6,768092,2413,\P EN TOUT TEMPS,SD-TT,0,205947---2,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,289179.03,5041952.54,-73.699945,45.517317,Saint-Laurent
205958,7,772460,11,\A EN TOUT TEMPS,AD-TT,0,205958---0,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,289552.49,5041663.68,-73.695156,45.514726,Saint-Laurent
205974,6,756065,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,2,205974---2,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,290724.52,5041788.89,-73.680159,45.515877,Saint-Laurent
205980,7,772461,11,\A EN TOUT TEMPS,AD-TT,0,205980---1,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,290540.41,5041609.58,-73.68251,45.51426,Saint-Laurent
205982,6,772462,11,\A EN TOUT TEMPS,AD-TT,0,205982---2,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,290444.64,5041547.76,-73.683734,45.513702,Saint-Laurent
206005,7,768093,2413,\P EN TOUT TEMPS,SD-TT,2,206005---1,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,290908.22,5041664.96,-73.677804,45.514766,Saint-Laurent
206055,6,772463,11,\A EN TOUT TEMPS,AD-TT,0,206055---2,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,291344.04,5042659.93,-73.672253,45.523727,Saint-Laurent
206060,6,768094,2413,\P EN TOUT TEMPS,SD-TT,2,206060---2,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,291210.37,5042379.85,-73.673956,45.521205,Saint-Laurent
206064,7,756067,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,3,206064---0,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,289142.88,5042862.91,-73.700437,45.525508,Saint-Laurent
206097,7,768095,2413,\P EN TOUT TEMPS,SD-TT,3,206097---1,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291637.26,5043220.21,-73.668515,45.528775,Saint-Laurent
206098,5,772464,11,\A EN TOUT TEMPS,AD-TT,0,206098---3,STATIONNEMENT,0,3/22/2010,,Réel,10- Fût et feux,291554.37,5043073.46,-73.669572,45.527452,Saint-Laurent
206105,6,768096,2413,\P EN TOUT TEMPS,SD-TT,0,206105---2,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288707.83,5037299.37,-73.705824,45.475435,Saint-Laurent
206107,7,768097,2413,\P EN TOUT TEMPS,SD-TT,0,206107---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288790.95,5037379.25,-73.704763,45.476156,Saint-Laurent
206112,7,768098,2413,\P EN TOUT TEMPS,SD-TT,0,206112---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288858.51,5037453.35,-73.703902,45.476824,Saint-Laurent
206113,7,768099,2413,\P EN TOUT TEMPS,SD-TT,0,206113---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288884.94,5037410.0,-73.703562,45.476435,Saint-Laurent
206121,6,756068,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,2,206121---2,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288994.22,5037596.36,-73.70217,45.478114,Saint-Laurent
206121,7,768100,2413,\P EN TOUT TEMPS,SD-TT,0,206121---1,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,288994.22,5037596.36,-73.70217,45.478114,Saint-Laurent
206136,4,770313,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206136---4,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289503.89,5036371.05,-73.695613,45.4671,Saint-Laurent
206140,7,770314,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,206140---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289560.4,5036574.22,-73.694897,45.468929,Saint-Laurent
206144,7,756335,14928,ARRÊT D'AUTOBUS LUNDI À VENDREDI,SLR-ST-193,2,206144---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289482.56,5036711.93,-73.695896,45.470167,Saint-Laurent
206145,7,768101,2413,\P EN TOUT TEMPS,SD-TT,0,206145---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289511.48,5036784.72,-73.695529,45.470822,Saint-Laurent
206147,7,768102,2413,\P EN TOUT TEMPS,SD-TT,0,206147---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289579.59,5037098.54,-73.694668,45.473648,Saint-Laurent
206151,7,768103,2413,\P EN TOUT TEMPS,SD-TT,0,206151---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289593.1,5037167.92,-73.694497,45.474272,Saint-Laurent
206153,7,768104,2413,\P EN TOUT TEMPS,SD-TT,0,206153---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289613.65,5037270.21,-73.694237,45.475193,Saint-Laurent
206155,7,768105,2413,\P EN TOUT TEMPS,SD-TT,0,206155---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289626.9,5037339.09,-73.69407,45.475813,Saint-Laurent
206158,7,768106,2413,\P EN TOUT TEMPS,SD-TT,0,206158---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289646.77,5037442.61,-73.693819,45.476745,Saint-Laurent
206160,7,768107,2413,\P EN TOUT TEMPS,SD-TT,0,206160---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289660.53,5037508.9,-73.693645,45.477342,Saint-Laurent
206162,7,768108,2413,\P EN TOUT TEMPS,SD-TT,3,206162---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,289483.07,5037754.04,-73.695922,45.479544,Saint-Laurent
206165,7,768109,2413,\P EN TOUT TEMPS,SD-TT,0,206165---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289272.13,5037812.18,-73.698622,45.480062,Saint-Laurent
206169,7,756069,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,2,206169---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,289178.55,5037725.23,-73.699817,45.479278,Saint-Laurent
206213,7,772465,11,\A EN TOUT TEMPS,AD-TT,0,206213---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285768.66,5039503.44,-73.743502,45.495194,Saint-Laurent
206218,7,772466,11,\A EN TOUT TEMPS,AD-TT,0,206218---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285718.54,5039546.37,-73.744145,45.495579,Saint-Laurent
206224,7,772467,11,\A EN TOUT TEMPS,AD-TT,0,206224---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285667.96,5039590.55,-73.744794,45.495975,Saint-Laurent
206226,7,772468,11,\A EN TOUT TEMPS,AD-TT,0,206226---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285620.63,5039632.0,-73.745401,45.496347,Saint-Laurent
206229,7,768110,2413,\P EN TOUT TEMPS,SD-TT,3,206229---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285573.58,5039679.93,-73.746005,45.496777,Saint-Laurent
206243,7,768111,2413,\P EN TOUT TEMPS,SD-TT,0,206243---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,285330.68,5039893.13,-73.749121,45.498689,Saint-Laurent
206252,6,768112,2413,\P EN TOUT TEMPS,SD-TT,0,206252---2,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,285051.82,5040039.72,-73.752695,45.5,Saint-Laurent
206265,7,937976,2413,\P EN TOUT TEMPS,SD-TT,0,206265---0,STATIONNEMENT,1,2/15/2013,,En conception,3- Fût,283554.625,5037914.0,-73.771761,45.480828,Saint-Laurent
206295,7,768114,2413,\P EN TOUT TEMPS,SD-TT,0,206295---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,284173.27,5038076.61,-73.763854,45.48231,Saint-Laurent
206308,7,768115,2413,\P EN TOUT TEMPS,SD-TT,0,206308---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,285223.92,5038474.17,-73.75043,45.485917,Saint-Laurent
206310,7,768116,2413,\P EN TOUT TEMPS,SD-TT,0,206310---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,285163.03,5038406.24,-73.751207,45.485305,Saint-Laurent
206346,7,974106,2413,\P EN TOUT TEMPS,SD-TT,0,206346---0,STATIONNEMENT,1,8/21/2013,,En conception,3- Fût,285317.938,5037819.0,-73.749202,45.480025,Saint-Laurent
206347,7,974108,2413,\P EN TOUT TEMPS,SD-TT,0,206347---0,STATIONNEMENT,1,8/21/2013,,En conception,3- Fût,285348.875,5037841.0,-73.748807,45.480223,Saint-Laurent
206395,7,756070,14914,SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE,SLR-ST-180,2,206395---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,286991.12,5037674.18,-73.727794,45.478766,Saint-Laurent
206421,7,756336,14928,ARRÊT D'AUTOBUS LUNDI À VENDREDI,SLR-ST-193,2,206421---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,286422.21,5038722.46,-73.735111,45.488184,Saint-Laurent
206445,7,768119,2413,\P EN TOUT TEMPS,SD-TT,3,206445---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,287218.37,5038205.6,-73.724907,45.483554,Saint-Laurent
